title,author,category,descriptions,book_stats,publish_year,title_id,reading_stats
Clean Code,Robert C. Martin,Programming,Code craftsmanship and maintainability for software teams.,Language English|Pages 464,2008,OL1001M,Read 120|Want to read 55
The Pragmatic Programmer,Andrew Hunt,Programming,Practical engineering advice for modern developers.,Language English|Pages 352,2019,OL1002M,Read 98|Want to read 41
Atomic Habits,James Clear,Self Help,Small habit systems for lasting personal change.,Language English|Pages 320,2018,OL1003M,Read 160|Want to read 80
Deep Work,Cal Newport,Productivity,Strategies for focused work in a distracted world.,Language English|Pages 304,2016,OL1004M,Read 109|Want to read 44
The Design of Everyday Things,Don Norman,Design,A classic on human-centered design and usability.,Language English|Pages 368,2013,OL1005M,Read 77|Want to read 29
Sapiens,Yuval Noah Harari,History,A broad history of humankind and civilization.,Language English|Pages 498,2015,OL1006M,Read 134|Want to read 61
Thinking Fast and Slow,Daniel Kahneman,Psychology,How two systems shape judgment and decision making.,Language English|Pages 512,2011,OL1007M,Read 102|Want to read 39
Introduction to Algorithms,Thomas H. Cormen,Computer Science,Comprehensive algorithms text for students and engineers.,Language English|Pages 1312,2009,OL1008M,Read 64|Want to read 27
The Gene,Siddhartha Mukherjee,Science,A history of genetics and the future of the gene.,Language English|Pages 608,2016,OL1009M,Read 72|Want to read 25
The Anthropocene Reviewed,John Green,Anthropology,Essays reviewing human-centered experiences and culture.,Language English|Pages 304,2021,OL1010M,Read 58|Want to read 21
Norwegian Wood,Haruki Murakami,Fiction,A literary coming-of-age novel of memory and loss.,Language English|Pages 296,2000,OL1011M,Read 89|Want to read 34
Educated,Tara Westover,Biography,A memoir about education identity and reinvention.,Language English|Pages 352,2018,OL1012M,Read 111|Want to read 47